caseid	gender	race	c1rrscal	c1rrttsco	c1rmscal	c1rmtsco	c1rgscal	c1rgtsco	c1fmotor	c1gmotor	c2rrscal	c2rrtsco	c2rmscal	c2rmtsco	c2rgscal	c2rgtsco	c3rrscal	c3rrtsco	c3rmscal	c3rmtsco	c3rgscal	c3rgtsco	c4rrscal	c4rrtsco	c4rmscal	c4rmtsco	c4rgscal	c4rgtsco	p1learn	p1contro	p1social	t1learn	t1contro	t1interp	t1extern	t1intern	p1center	p1disabl	p1htotal	p1hfamil	p1firkdg	p1hrsprk	wkmomed	wkdaded	wklangst	wksesl	wksesq5	s2kpupri	p1count	lower(az1)	p1pencil	p1still	p1letter	p1verbal	p1expect	p1readbo	p1tellst	p1singso	p1helpar	p1chores	p1games	p1nature	p1build	p1sport	p1chlboo	p1chsesa	p2librar	p2safepl	p2garbag	p2drug	p2burglr	p2violen	p2vacant	p2bktog	ses_orig	rv
885	1	1	27	57	22	56	23	52	6	7	39	58	31	55	26	49	44	56	34	53	31	51	61	54	46	54	30	45	3.00	2.40	3.67	3.17	3.25	3.25	1.60	1.50	1	2	4	1	1	6	5	3	2	44	3	1	3	2	1	3	3	1	3	3	3	3	2	3	3	3	2	3	100	1	1	3	3	3	3	3	3	4	-0.07	0.72
886	1	1	27	57	30	64	30	60	5	8	47	62	37	61	34	59	70	70	38	56	40	62	81	67	53	60	45	65	2.83	3.00	4.00	3.33	3.75	4.00	1.00	1.00	1	1	4	1	1	40	3	3	2	44	3	2	2	2	3	3	2	2	4	3	2	2	2	3	3	2	2	3	100	2	1	3	3	2	3	3	3	7	-0.12	0.54
887	1	1	25	55	24	58	30	60	7	5	51	64	26	50	32	57	69	69	34	52	35	55	81	67	51	58	39	55	3.00	3.00	3.33	3.83	4.00	3.60	1.20	1.25	1	2	5	1	1	25	6	3	2	44	3	2	3	2	2	1	3	2	4	4	3	4	3	4	3	2	3	3	100	1	1	3	3	3	3	3	3	4	-0.09	0.44
888	1	1	51	74	35	68	17	44	7	0	67	73	43	66	22	45	72	71	45	62	29	49	77	64	53	60	29	44	3.17	2.60	3.33	2.50	3.00	3.00	1.40	1.00	1	1	4	1	1	12	5	5	2	44	3	2	2	1	2	2	2	2	3	2	2	2	2	2	4	3	3	2	150	1	1	2	3	3	3	3	3	7	-0.12	0.27
889	1	1	27	57	19	51	34	65	6	4	35	54	31	55	29	53	41	54	32	51	33	54	67	57	44	51	40	57	3.17	3.00	3.00	2.50	3.00	3.00	1.00	1.50	1	2	4	1	1	23	3	5	2	44	3	1	1	1	2	2	2	2	5	3	3	2	2	3	2	2	4	3	100	1	2	3	3	3	3	3	3	7	-0.15	0.05
890	2	1	27	57	20	53	33	64	6	7	36	56	31	55	29	53	42	55	31	49	36	56	57	52	38	46	35	51	2.83	3.40	3.00	2.67	2.33	3.00	1.20	2.00	1	2	4	1	1	23	3	5	2	44	3	1	1	1	2	2	2	2	5	4	3	2	2	3	2	2	3	3	100	1	2	3	3	3	3	3	3	7	-0.15	0.54
891	1	1	24	53	22	55	30	60	9	8	28	47	24	48	32	57	37	51	31	49	38	60	56	51	53	60	40	57	3.67	2.60	2.33	3.67	3.67	2.60	1.80	1.00	1	2	4	1	1	36	3	3	2	44	3	2	4	1	2	1	4	1	2	3	3	4	3	4	3	4	3	3	50	1	1	3	3	3	3	3	3	7	-0.06	0.75
892	2	1	17	43	13	42	22	50	9	6	36	56	26	50	26	49	38	52	30	49	31	51	43	43	37	45	35	50	2.83	2.80	4.00	2.33	3.00	3.00	1.40	2.00	1	2	5	1	1	32	5	5	2	44	3	1	1	2	1	2	2	2	5	2	3	4	2	4	2	2	1	2	30	1	2	3	3	3	3	3	3	7	-0.09	0.16
893	2	1	27	56	23	57	31	62	7	8	37	56	32	56	33	57	39	53	38	56	38	60	58	52	43	51	43	61	3.33	3.00	3.00	3.50	3.25	3.20	1.20	1.25	1	2	3	2	1	16	5	2	2	44	3	1	4	2	2	2	2	3	3	4	3	3	3	3	3	3	2	2	60	1	1	3	3	3	3	3	3	1	-0.06	0.66
894	2	1	19	47	18	50	26	56	8	8	32	52	18	39	26	50	44	56	32	50	32	52	57	52	34	42	37	53	2.50	3.20	2.67	2.33	2.50	2.40	2.00	1.33	2	2	4	1	1	0	3	2	2	44	3	1	3	1	1	3	3	1	5	4	2	4	3	4	3	2	3	3	100	2	1	3	3	3	3	3	3	5	-0.14	0.52
