caseid	gender	race	c1rrscal	c1rrttsco	c1rmscal	c1rmtsco	c1rgscal	c1rgtsco	c1fmotor	c1gmotor	c2rrscal	c2rrtsco	c2rmscal	c2rmtsco	c2rgscal	c2rgtsco	c3rrscal	c3rrtsco	c3rmscal	c3rmtsco	c3rgscal	c3rgtsco	c4rrscal	c4rrtsco	c4rmscal	c4rmtsco	c4rgscal	c4rgtsco	p1learn	p1contro	p1social	t1learn	t1contro	t1interp	t1extern	t1intern	p1center	p1disabl	p1htotal	p1hfamil	p1firkdg	p1hrsprk	wkmomed	wkdaded	wklangst	wksesl	wksesq5	s2kpupri	p1count	lower(az1)	p1pencil	p1still	p1letter	p1verbal	p1expect	p1readbo	p1tellst	p1singso	p1helpar	p1chores	p1games	p1nature	p1build	p1sport	p1chlboo	p1chsesa	p2librar	p2safepl	p2garbag	p2drug	p2burglr	p2violen	p2vacant	p2bktog	ses_orig	rv
1	1	4	22	51	26	60	26	56	7	7	36	55	35	58	28	51	38	52	45	62	35	56	48	46	50	57	38	55	3.17	3.60	3.00	3.00	3.67	3.00	1.00	2.00	2	2	5	3	1	40	1	5	1	30	1	1	1	1	1	1	1	1	6	4	4	2	3	3	4	3	3	4	25	1	1	3	3	3	2	3	3	7	-1.50	0.14
2	2	1	14	37	15	45	18	46	4	8	36	55	23	47	29	53	35	49	28	47	22	41	42	43	42	50	26	40	3.50	3.20	4.00	2.33	2.50	2.40	3.20	1.25	2	2	5	1	1	0	1	1	2	31	1	1	2	2	2	2	2	2	3	4	2	2	4	4	4	2	4	4	12	1	2	3	3	3	3	3	3	0	-1.42	0.43
3	2	1	27	57	20	53	25	55	3	7	39	57	33	57	31	56	40	54	40	58	32	52	67	58	41	49	31	46	3.17	2.40	3.67	2.83	2.67	2.50	1.20	1.25	1	2	3	2	1	20	3	3	2	32	1	1	3	2	3	2	3	2	3	4	4	4	2	2	3	3	2	3	30	2	1	3	2	3	3	3	3	3	-1.27	0.61
4	2	2	21	50	16	46	15	41	5	6	28	47	25	50	21	43	35	50	28	47	23	42	49	47	45	52	31	46	2.83	3.80	2.67	3.17	3.33	3.00	1.00	1.50	1	2	5	1	1	16	2	2	2	32	1	1	2	2	2	2	2	2	4	3	2	4	4	3	3	3	2	3	40	1	1	3	3	2	3	3	3	2	-1.31	0.29
5	1	1	21	49	15	45	11	33	3	5	20	36	18	40	13	32	27	42	17	31	15	31	40	42	20	24	19	32	2.50	2.80	2.67	2.00	2.25	2.00	2.40	2.25	2	2	5	1	1	0	2	3	2	32	1	1	2	2	1	2	2	1	2	4	2	2	1	2	2	2	2	4	4	1	2	2	2	3	2	3	3	1	-1.30	0.16
6	1	2	15	40	9	32	20	48	1	3	15	28	14	31	21	43	19	29	11	20	28	47	18	12	14	13	25	40	2.83	2.80	2.67	1.17	2.75	2.00	2.40	1.00	1	2	5	1	2	110	3	3	2	32	1	1	3	2	2	2	3	2	3	3	3	3	2	4	3	3	4	2	12	1	2	2	3	2	1	3	2	3	-1.28	0.70
7	2	1	26	56	21	54	17	45	9	4	32	52	31	55	18	40	38	52	34	52	19	36	60	54	43	50	30	45	3.67	2.20	3.00	3.00	2.33	2.00	1.20	1.50	1	2	4	1	1	0	1	2	2	32	1	1	2	2	3	2	2	2	2	4	4	3	2	4	2	1	3	4	30	1	2	2	3	3	3	3	3	7	-1.35	0.35
8	1	1	14	38	12	39	15	41	3	7	32	52	26	50	30	54	38	52	38	56	34	54	60	54	55	62	37	53	4.00	3.20	4.00	1.00	2.50	1.40	1.40	3.25	2	2	5	5	1	0	1	1	2	32	1	1	2	2	2	2	2	2	2	4	4	2	4	2	4	4	3	4	75	1	2	3	3	3	3	3	3	2	-1.27	0.45
9	2	4	14	37	10	35	17	44	8	6	16	30	17	37	18	39	21	33	16	31	21	40	38	40	26	33	24	37	4.00	4.00	3.00	2.83	3.00	3.00	1.40	1.00	1	2	7	1	1	4	1	2	1	32	1	1	2	2	2	2	2	2	6	2	4	4	2	4	4	2	3	4	20	2	2	2	3	3	2	3	3	7	-1.26	0.05
10	2	2	14	39	11	37	8	27	1	5	23	41	19	41	15	34	27	41	21	39	17	34	57	52	38	46	21	35	2.67	3.00	3.00	1.67	3.50	2.60	1.00	1.75	2	2	7	1	1	0	2	3	2	33	1	1	2	2	2	2	2	2	3	2	3	2	2	4	2	2	1	2	15	1	2	3	3	2	3	3	3	4	-1.22	0.10
11	2	4	24	53	22	56	16	42	7	8	32	52	32	56	24	47	35	50	34	53	25	45	65	56	45	52	34	49	2.50	2.80	2.00	2.83	3.00	2.60	1.40	1.75	2	2	5	1	1	0	1	1	1	33	1	1	2	2	3	2	2	2	5	2	2	2	2	3	2	2	2	2	20	1	2	3	3	3	3	3	3	2	-1.22	0.14
12	2	8	20	48	18	50	12	37	2	6	32	52	29	53	23	45	45	57	41	59	27	46	63	56	53	59	34	50	3.67	3.20	3.67	3.50	3.00	2.40	2.00	1.25	1	2	6	1	1	35	3	1	2	33	1	1	2	2	2	1	1	2	4	4	4	4	4	4	3	1	3	4	40	1	2	1	2	1	3	3	3	4	-1.23	0.04
13	1	1	12	30	8	29	19	46	3	6	16	30	9	19	18	40	17	27	14	25	19	37	34	36	17	19	27	41	2.67	2.40	2.33	2.00	2.00	1.75	2.60	1.25	1	1	6	1	1	20	1	1	2	34	1	1	3	2	4	3	3	2	2	3	3	2	1	2	2	1	2	2	100	1	1	2	3	3	3	3	3	2	-1.15	0.62
14	1	2	15	40	9	30	16	42	8	8	30	50	14	33	20	42	27	41	19	36	20	38	34	37	25	32	22	36	3.50	2.00	3.00	2.17	2.25	2.60	2.40	1.75	1	2	6	1	1	20	2	2	2	34	1	1	2	2	2	2	2	3	2	4	2	2	4	4	2	1	1	1	4	1	1	1	1	1	2	1	1	7	-1.10	0.15
15	1	2	15	40	10	35	19	47	6	8	22	39	19	41	24	47	23	35	20	37	25	44	41	42	31	38	21	34	2.33	2.20	2.67	2.17	2.50	1.80	2.80	2.25	1	2	7	1	2	52	1	1	2	34	1	1	4	2	2	2	1	2	4	2	4	3	4	4	2	1	2	2	25	1	2	2	1	3	2	3	3	2	-1.08	0.72
16	1	4	22	51	15	44	7	21	6	7	32	52	29	53	19	40	44	56	35	54	24	42	51	48	38	45	32	47	2.83	3.00	2.00	2.50	2.50	2.80	2.00	1.25	1	2	5	3	1	12	1	1	1	34	1	1	2	2	2	2	2	2	3	2	2	1	1	1	1	1	1	1	6	1	2	3	3	3	3	3	3	7	-1.14	0.93
17	2	2	16	41	18	50	19	47	6	7	22	39	22	46	22	44	36	50	38	56	25	44	54	50	46	53	33	49	3.67	3.20	3.33	4.00	3.75	3.60	1.00	2.33	1	2	7	1	1	39	2	3	2	34	1	1	3	2	2	2	2	2	6	3	2	2	4	2	2	1	2	2	5	1	2	2	2	2	2	2	1	7	-1.14	0.58
18	2	1	23	52	22	55	21	49	5	2	51	64	35	59	29	52	68	69	35	54	36	56	74	62	42	50	34	49	3.33	2.00	3.00	3.50	4.00	2.80	1.40	1.75	2	2	4	1	1	0	1	2	2	34	1	1	2	2	3	3	2	2	4	4	2	2	3	2	1	2	1	2	50	2	2	3	1	2	3	3	3	7	-1.09	0.26
19	2	7	13	34	11	36	10	32	5	6	16	31	16	36	12	31	20	31	19	35	11	23	28	29	29	37	25	39	3.00	3.00	3.67	3.50	2.50	2.25	2.00	2.00	1	1	7	5	1	15	1	3	2	34	1	1	2	2	2	2	2	2	2	3	3	1	3	3	3	3	1	2	6	1	1	2	3	3	3	3	3	7	-1.09	0.72
20	1	7	13	35	15	45	12	36	4	6	27	46	17	37	17	38	28	42	22	40	18	35	30	31	33	41	21	34	2.67	2.60	2.67	2.83	3.25	3.00	1.80	2.00	1	2	6	1	1	6	2	3	2	34	1	1	3	2	2	2	2	2	4	2	2	1	2	4	2	1	2	2	10	1	2	3	3	3	3	3	3	3	-1.08	0.04
21	1	7	19	47	18	49	12	35	5	8	35	54	24	49	21	43	31	46	23	41	20	38	56	52	44	52	28	43	3.17	2.40	3.67	2.83	2.50	2.80	2.20	1.33	1	1	6	1	1	20	2	3	2	34	1	1	2	2	2	2	3	2	2	4	2	2	3	3	3	2	4	2	40	1	2	3	3	3	3	3	3	7	-1.07	0.10
22	2	4	15	39	13	41	15	40	2	4	28	48	24	48	18	39	32	47	24	43	19	37	41	42	41	48	20	34	3.17	3.00	2.33	1.83	2.50	1.50	1.00	2.50	1	2	6	1	1	4	1	2	2	34	1	1	2	2	2	2	2	2	6	2	2	2	2	4	4	2	3	3	60	1	1	2	3	3	3	3	3	0	-1.12	0.73
23	1	1	14	38	15	44	27	56	8	8	16	29	28	52	27	50	19	30	33	51	34	55	54	51	49	56	38	54	3.83	3.20	4.00	3.00	2.50	2.00	2.60	1.25	1	1	6	3	1	4	1	2	2	34	1	1	2	1	1	1	2	1	6	4	3	4	4	4	3	3	3	4	50	1	2	3	3	3	3	3	3	7	-1.11	0.23
24	2	1	12	33	9	30	15	41	4	6	14	26	13	29	19	41	18	27	15	28	23	41	32	34	23	29	33	48	2.67	1.40	3.33	3.00	3.25	2.40	2.00	2.00	1	2	3	2	1	9	3	1	2	34	1	1	3	2	3	3	4	2	2	4	2	2	1	2	2	1	2	2	20	2	2	2	3	3	3	3	3	1	-1.06	0.22
25	2	1	24	53	29	63	29	59	7	8	47	62	33	57	34	59	44	56	37	55	35	55	68	58	41	48	41	59	3.67	3.80	4.00	3.67	3.50	3.40	1.00	1.00	2	2	4	3	1	0	3	2	2	35	1	1	2	2	2	2	2	2	4	2	2	4	2	4	4	1	4	2	200	2	2	2	3	3	3	3	3	4	-1.05	0.61
26	2	1	12	31	9	32	10	32	1	5	28	47	14	32	12	30	25	39	12	21	12	26	38	40	31	38	28	43	3.17	2.20	4.00	2.33	3.50	3.20	1.00	2.75	1	2	5	1	1	15	2	2	2	35	1	1	3	2	3	2	2	2	2	4	1	1	3	3	1	1	1	1	200	2	2	3	3	3	3	3	3	7	-1.03	0.95
27	1	1	14	37	15	44	15	41	6	3	21	39	16	35	20	42	27	41	20	38	19	37	39	41	33	41	28	43	2.83	2.60	3.00	1.67	1.50	1.80	3.60	2.50	2	1	6	4	1	0	2	2	2	35	1	1	3	2	3	2	2	2	2	2	2	1	2	1	2	1	1	2	5	1	1	2	2	2	3	3	3	2	-1.02	0.24
28	2	2	16	42	22	56	29	59	8	7	25	43	33	57	33	58	32	47	39	57	32	53	55	51	47	55	42	59	2.50	2.00	2.67	3.67	3.25	3.00	1.00	1.00	1	2	4	1	1	40	5	5	2	35	1	1	2	2	2	2	2	2	3	2	2	4	4	4	4	2	4	2	100	1	1	3	3	3	3	3	3	7	-1.01	0.34
29	1	1	14	37	11	37	9	29	3	3	18	33	16	37	16	37	17	26	14	26	20	38	21	18	25	32	22	35	2.00	1.60	4.00	1.50	2.00	1.60	2.60	1.00	1	1	5	1	1	20	1	3	2	35	1	1	1	1	1	1	2	1	4	2	2	2	3	3	2	1	2	3	20	2	2	3	3	3	3	3	3	1	-1.00	0.05
30	2	2	12	30	12	39	11	34	7	8	16	30	15	33	14	34	24	38	25	44	22	41	33	35	20	25	22	36	3.00	2.80	3.67	4.00	4.00	4.00	1.00	1.00	2	2	6	3	1	40	2	2	2	35	1	1	2	2	2	2	2	2	3	4	3	4	2	4	4	4	4	2	55	1	2	2	3	2	3	3	3	3	-0.98	0.74
31	1	3	20	48	24	58	23	52	6	7	33	53	37	61	30	54	39	53	38	56	37	58	53	50	48	56	39	55	2.50	2.80	2.67	3.67	3.50	3.40	1.00	2.00	2	2	6	1	1	0	2	3	2	35	1	1	2	2	2	3	3	2	5	3	2	2	2	4	2	2	1	2	5	2	1	2	3	2	2	3	3	7	-0.96	0.12
32	1	4	13	36	14	42	14	40	4	5	16	29	21	44	19	41	28	42	27	45	23	41	39	40	41	48	32	47	3.17	2.60	4.00	3.50	2.75	2.60	2.20	2.00	1	2	5	1	1	15	2	1	2	35	1	1	2	1	1	2	1	2	2	2	3	2	3	4	3	2	3	3	21	1	1	3	3	3	2	3	3	3	-0.98	0.06
33	2	7	13	36	9	30	14	39	5	4	28	47	23	47	17	38	28	42	30	48	19	36	45	45	43	51	32	47	3.67	3.20	4.00	2.17	2.50	2.20	2.80	2.25	1	2	7	1	1	20	3	2	2	35	1	1	2	2	2	2	2	2	2	2	2	2	4	4	2	2	2	4	10	1	2	3	3	3	3	3	3	7	-1.01	0.19
34	1	5	20	49	11	37	13	38	6	6	34	53	23	47	23	46	35	50	38	56	23	42	49	48	50	57	31	46	2.83	2.80	2.67	2.67	2.25	3.20	2.60	1.25	1	2	4	1	1	8	5	6	1	35	1	1	2	2	3	2	2	3	4	3	2	2	2	4	2	2	2	3	25	2	2	2	3	3	3	3	3	6	-1.05	0.10
35	2	1	18	44	15	45	26	56	7	8	39	58	42	65	27	51	41	54	41	58	28	47	49	48	52	59	41	58	3.17	2.00	2.33	2.00	2.25	2.20	2.00	2.00	1	2	6	1	1	20	6	5	2	35	1	1	3	2	2	1	3	1	4	4	2	3	3	4	3	2	2	3	100	2	2	3	3	3	3	3	3	7	-1.01	0.68
36	2	1	17	44	12	40	18	46	4	6	27	46	14	32	21	44	27	41	19	35	22	41	37	39	22	28	27	41	2.83	1.40	3.33	2.67	2.25	2.25	2.20	2.00	1	1	5	1	1	16	2	2	2	35	1	1	3	2	2	1	3	3	2	4	3	4	2	1	3	2	2	4	40	2	2	2	2	3	3	3	3	0	-1.00	0.69
37	1	1	15	40	19	51	17	44	3	6	30	49	29	53	23	46	45	57	34	53	27	47	43	44	55	61	33	48	3.17	1.60	4.00	2.50	3.00	2.80	2.20	2.00	2	1	6	1	1	0	2	1	2	35	1	1	1	1	1	2	1	1	5	4	3	4	3	3	4	3	4	4	20	2	2	3	2	3	2	3	3	3	-1.04	0.87
38	1	1	14	38	13	40	14	39	4	2	21	38	17	38	13	32	22	35	20	37	21	39	30	31	24	30	22	36	2.50	1.80	2.67	3.00	4.00	2.80	1.00	3.00	1	2	11	1	1	40	1	3	2	35	1	1	2	2	1	2	2	1	6	3	3	2	4	2	3	2	4	3	50	1	1	2	3	3	3	3	3	0	-0.97	0.35
39	2	2	27	57	19	51	14	39	5	6	46	62	24	48	20	42	49	59	35	54	21	40	66	57	41	49	30	45	3.00	3.40	2.67	4.00	3.25	3.00	1.20	2.00	1	2	5	1	1	0	3	3	2	35	1	1	2	2	2	2	2	3	3	4	1	4	1	4	2	1	1	1	12	1	2	2	3	3	3	3	3	1	-1.01	0.50
40	1	2	16	42	10	34	19	46	5	8	21	38	19	41	16	36	26	39	24	42	19	36	28	29	31	38	25	40	3.00	3.20	4.00	3.67	2.50	2.80	1.40	1.00	2	2	5	1	1	0	3	3	2	35	1	1	2	3	2	2	3	2	3	2	2	2	1	4	3	2	4	4	40	1	1	2	3	2	3	3	3	3	-0.96	0.70
41	2	2	14	38	11	37	14	39	1	2	23	40	14	32	14	34	26	39	20	37	22	40	27	28	20	25	17	29	2.67	2.20	2.33	3.33	3.50	3.00	1.40	1.25	1	2	7	1	1	46	3	2	2	35	1	1	2	2	2	2	2	2	3	3	2	2	3	4	3	1	3	3	3	1	1	1	1	1	3	3	1	5	-1.01	0.21
42	2	1	31	61	19	51	29	59	8	4	34	54	34	57	29	53	36	51	34	53	37	58	55	51	52	59	45	66	2.67	2.60	2.67	4.00	3.50	3.40	1.00	1.25	1	2	4	1	1	40	6	5	2	35	1	1	4	2	4	2	4	2	4	3	3	3	3	3	3	2	2	3	40	2	1	3	3	3	3	3	3	7	-1.04	0.77
43	2	4	12	33	15	45	12	36	8	7	20	37	18	40	15	35	46	57	37	55	19	37	62	55	41	49	19	31	2.33	2.40	2.67	3.50	3.75	3.40	1.00	1.00	1	2	5	1	1	20	1	1	1	35	1	1	1	2	2	2	2	2	3	4	4	1	1	2	2	1	1	1	9	1	1	2	3	3	2	3	3	2	-1.05	0.07
44	1	4	23	52	30	63	26	56	4	4	42	59	34	58	26	49	38	52	40	58	16	32	52	49	43	51	21	34	2.83	3.40	2.67	3.00	2.75	2.50	2.00	1.25	2	2	6	1	1	0	1	1	1	35	1	1	1	1	1	1	1	1	6	2	2	2	2	2	2	2	2	2	3	1	2	3	3	3	3	3	3	2	-1.03	0.53
45	1	1	18	45	22	56	18	46	6	8	30	49	22	45	23	45	31	45	29	48	32	52	42	43	40	48	29	44	2.83	2.60	3.00	1.50	2.75	2.80	2.00	2.00	1	2	3	2	1	20	2	2	2	35	1	1	4	1	3	2	3	1	2	4	4	3	3	4	1	2	2	4	50	2	2	3	2	1	3	3	3	2	-1.02	0.66
46	1	2	20	49	20	53	23	52	7	7	24	42	26	50	22	45	36	50	31	50	34	55	54	50	33	41	31	46	3.50	3.20	4.00	2.33	3.00	2.40	1.20	2.00	1	2	7	1	1	12	2	3	2	35	1	1	2	1	1	1	2	1	4	2	2	4	3	3	4	4	4	4	55	2	2	2	3	3	3	3	3	2	-1.01	0.94
47	1	1	12	33	14	42	28	58	2	2	24	42	22	46	30	54	35	50	24	43	30	50	49	47	37	45	40	57	3.00	3.20	3.67	2.00	2.75	2.20	2.00	2.00	2	2	6	1	1	0	2	2	2	36	1	1	1	1	2	2	2	1	2	3	3	4	2	4	3	4	1	3	15	1	2	3	3	3	3	3	3	2	-0.86	0.32
48	1	1	14	39	11	36	27	56	3	1	22	39	19	41	24	47	28	43	19	35	28	47	66	57	43	51	37	53	2.83	2.40	3.33	2.50	3.00	2.20	1.00	1.75	1	2	4	1	1	20	3	2	2	36	1	1	2	1	1	1	1	1	4	3	2	2	3	4	3	1	2	2	100	1	2	3	3	3	3	3	2	2	-0.87	0.52
49	2	5	12	33	8	28	16	42	7	8	21	37	17	38	15	36	32	47	20	38	17	34	36	38	35	42	22	36	2.80	2.80	3.67	3.83	4.00	4.00	1.00	1.00	2	2	3	2	1	40	2	3	1	36	1	1	3	3	2	2	2	3	4	4	4	4	4	4	3	3	4	1	100	2	2	3	3	2	3	3	3	7	-0.87	0.77
50	2	4	13	35	13	42	12	36	6	2	23	40	16	36	17	38	30	44	18	34	22	41	47	46	38	46	28	43	3.17	3.00	2.67	2.50	2.25	2.40	1.25	1.75	1	2	6	1	1	12	2	1	2	36	1	1	2	2	3	1	2	1	2	4	2	2	2	4	2	3	2	3	40	1	1	3	3	3	3	3	3	0	-0.94	0.13
51	2	1	25	55	17	48	21	50	7	6	50	64	32	56	29	53	69	69	31	50	32	53	77	64	39	47	41	59	2.67	2.80	3.33	3.83	3.25	3.80	1.00	1.50	2	2	4	1	1	40	3	3	2	36	1	1	1	2	2	2	2	2	3	3	3	4	2	3	2	2	1	2	30	2	1	3	3	3	3	3	3	7	-0.91	0.56
52	1	1	15	41	20	53	32	62	7	6	24	43	26	50	36	61	37	51	37	55	38	59	76	63	46	54	47	69	2.67	3.00	3.67	4.00	3.75	4.00	1.00	1.25	2	2	5	1	1	0	2	2	2	36	1	1	2	1	1	1	1	1	3	4	4	2	2	3	3	2	1	3	100	1	2	2	2	2	2	2	3	0	-0.92	0.98
53	1	3	16	41	13	42	23	52	4	7	22	39	23	47	31	55	36	51	37	55	36	57	46	46	56	63	38	55	2.33	2.00	3.67	2.17	2.75	2.60	2.00	2.25	1	1	5	1	1	42	2	1	2	36	1	1	2	2	2	2	2	2	2	2	2	4	3	4	2	3	2	3	50	1	2	2	3	3	3	3	3	4	-0.87	0.33
54	1	7	13	36	16	47	14	39	6	8	29	48	26	50	22	45	28	42	32	50	20	37	40	42	44	52	32	47	2.17	2.40	3.00	1.17	2.00	1.80	2.20	2.25	1	2	9	1	1	100	3	3	2	36	1	1	3	2	3	2	3	3	2	2	4	2	4	4	4	2	1	2	2	1	1	2	2	3	3	3	3	7	-0.88	0.54
55	2	7	12	31	9	29	11	33	2	8	13	24	20	43	21	44	17	26	17	31	17	34	41	42	31	38	31	46	3.00	3.20	3.00	3.33	2.75	2.50	1.80	1.75	1	2	8	1	1	24	3	4	2	36	1	1	1	2	2	2	2	3	3	2	3	4	1	2	4	3	4	4	8	1	2	2	3	3	2	3	3	2	-0.91	0.51
56	2	4	20	49	12	40	16	43	5	6	28	47	18	39	20	41	33	48	28	47	26	45	51	48	43	51	36	52	3.17	2.80	2.67	2.33	3.75	4.00	1.00	1.25	2	2	5	1	1	0	1	1	1	36	1	1	2	2	2	2	3	2	4	2	2	2	1	4	1	1	1	2	6	2	2	1	3	3	3	3	3	5	-0.89	0.28
57	2	1	19	46	14	44	23	52	7	8	30	50	22	45	20	43	38	52	35	54	26	45	53	49	52	59	30	44	3.67	2.80	3.33	2.83	2.50	3.40	1.00	2.00	2	2	5	1	1	12	2	1	2	36	1	1	3	1	1	1	4	1	2	3	2	2	2	3	3	4	2	2	100	1	1	2	3	3	3	3	3	2	-0.86	0.35
58	1	3	25	55	17	48	18	46	7	6	33	52	26	51	23	45	34	49	39	57	28	47	52	49	46	53	32	47	2.83	2.60	4.00	3.67	3.25	3.20	1.00	2.00	1	2	5	1	1	24	2	2	2	36	1	1	2	2	2	2	2	1	2	2	2	1	4	2	2	1	2	4	10	1	2	2	3	3	1	3	3	2	-0.93	0.92
59	2	1	23	52	23	57	17	45	7	8	42	60	29	53	27	50	39	53	33	51	26	45	50	48	41	49	30	45	3.33	2.60	3.33	2.00	3.00	3.00	2.40	1.50	1	2	4	1	1	32	2	3	2	36	1	1	3	2	3	3	2	1	3	2	2	3	2	1	2	2	2	3	20	1	2	3	3	3	3	3	3	7	-0.88	0.41
60	2	1	20	48	15	45	19	47	5	5	36	55	25	49	24	47	40	54	31	49	23	42	54	50	39	47	33	48	2.50	2.40	3.33	3.83	3.50	3.80	1.60	1.25	2	2	5	1	1	53	3	1	2	36	1	1	3	2	2	2	2	2	6	2	2	2	2	3	2	2	1	3	25	1	2	2	3	3	3	3	2	2	-0.90	0.10
61	2	8	26	56	22	56	29	59	7	6	40	58	25	49	30	54	50	59	31	49	31	52	61	54	40	48	36	52	3.33	1.60	4.00	3.00	3.00	2.80	2.20	1.00	1	2	3	2	1	0	2	3	2	36	1	1	2	2	3	2	2	3	2	3	2	2	2	3	3	2	2	2	50	2	1	1	1	1	1	2	1	7	-0.87	0.33
62	1	2	14	37	8	28	9	29	3	8	20	36	13	29	14	33	23	36	14	27	18	35	31	33	22	28	23	36	2.00	3.00	2.67	2.33	2.75	2.60	1.60	2.00	1	2	5	1	1	85	2	3	2	36	1	1	2	2	2	2	2	2	3	1	1	2	2	3	4	1	1	2	7	1	2	2	3	3	3	3	2	1	-0.93	0.62
63	2	1	15	40	9	32	14	39	6	6	14	26	18	40	15	35	17	27	22	40	18	36	33	35	32	40	30	45	3.33	3.20	3.33	2.00	3.33	3.40	1.60	1.00	1	1	4	1	1	45	3	2	2	36	1	1	1	1	1	4	1	1	4	4	4	4	3	4	4	2	1	4	200	2	2	3	3	3	3	3	3	7	-0.86	0.64
64	1	1	14	38	9	31	16	43	5	2	32	51	22	45	22	45	38	52	33	51	29	48	55	51	44	52	29	43	2.17	2.20	2.67	3.33	3.50	3.40	1.20	1.25	2	1	4	1	1	0	2	2	2	36	1	1	2	2	2	2	2	2	6	2	4	4	2	4	2	4	2	4	75	2	2	3	3	3	3	3	3	2	-0.91	0.75
65	1	4	13	34	10	33	18	45	5	8	31	50	20	42	24	47	35	50	32	50	27	46	54	50	48	56	33	48	2.83	2.80	3.33	2.17	2.75	2.20	2.00	1.00	1	2	4	1	1	3	3	3	1	36	1	1	2	2	2	2	2	2	6	4	3	3	2	4	2	2	2	2	20	1	2	2	3	3	3	3	3	2	-0.88	0.20
66	1	5	23	52	16	47	11	34	6	3	27	45	23	46	20	41	35	50	34	52	18	35	53	50	38	46	28	43	3.00	2.80	4.00	3.00	3.75	3.20	1.20	1.00	1	2	9	1	1	15	1	3	1	36	1	1	3	2	2	2	2	2	4	4	3	4	4	2	3	3	4	3	10	1	1	3	3	3	3	3	3	7	-0.86	0.14
67	1	3	20	49	17	49	13	37	6	4	30	50	27	51	20	42	32	46	33	51	22	41	50	48	45	52	24	38	2.83	1.80	3.00	2.83	2.00	2.20	2.40	2.00	1	2	6	1	1	15	3	2	2	36	1	1	3	2	3	2	3	3	4	2	2	3	2	1	2	1	4	3	70	1	2	2	2	3	3	2	3	2	-0.89	0.45
68	1	4	12	33	9	31	14	40	7	3	26	44	12	28	19	41	26	40	14	27	23	42	26	26	18	20	28	43	2.67	2.80	3.67	2.33	2.00	2.80	2.00	1.25	1	2	7	1	1	20	2	2	1	36	1	1	2	2	2	3	2	2	6	4	4	2	4	4	2	1	3	1	10	1	1	2	2	2	2	2	3	7	-0.92	0.37
69	1	3	19	46	16	46	10	30	7	8	26	45	34	58	26	49	32	47	23	42	25	44	48	47	45	53	23	36	3.83	2.80	3.00	2.83	3.00	2.60	1.40	1.25	2	2	6	1	1	5	2	1	1	36	1	1	2	2	2	1	2	1	6	4	2	4	4	4	4	4	1	3	15	1	1	3	3	3	3	3	3	3	-0.92	0.49
70	1	1	14	38	14	43	19	47	5	3	19	35	16	35	19	40	33	48	32	50	35	56	41	42	32	39	24	38	2.17	2.80	3.00	2.17	3.25	3.40	2.20	2.00	1	1	5	1	1	36	2	2	2	36	1	1	2	2	2	2	2	2	2	4	3	4	2	2	2	3	4	4	15	1	2	3	3	3	3	3	2	0	-0.95	0.10
71	1	1	21	49	19	51	15	41	8	7	25	43	25	50	25	48	23	36	27	45	24	43	56	51	41	49	37	53	3.50	3.00	3.33	3.67	3.75	4.00	2.00	1.25	2	2	4	1	1	0	3	2	2	36	1	1	3	3	2	2	3	2	3	4	4	4	2	3	4	3	4	3	50	1	2	3	3	3	3	3	3	1	-0.86	0.73
72	1	1	21	50	18	49	15	41	6	8	33	52	22	45	25	48	29	43	21	38	25	44	53	50	46	54	27	42	2.50	3.00	3.00	3.00	2.75	3.00	1.80	1.25	1	2	4	1	1	6	2	2	2	36	1	1	3	2	2	2	2	3	2	3	3	2	3	4	4	2	4	2	30	1	1	3	3	3	3	3	3	3	-0.86	0.04
73	2	1	22	51	14	43	19	46	8	4	26	45	21	44	22	45	28	43	27	46	25	44	59	53	45	53	26	40	3.50	2.00	4.00	3.00	3.25	3.20	1.20	2.00	1	2	4	5	1	28	1	2	2	36	1	1	2	2	2	2	2	2	2	4	3	4	2	4	4	2	4	2	30	2	2	3	3	3	3	3	3	7	-0.90	0.17
74	2	2	33	64	25	59	20	48	8	8	50	64	41	64	23	45	58	64	38	56	28	47	77	64	49	56	36	52	2.33	3.40	2.33	4.00	3.50	2.75	1.00	1.00	2	2	8	1	2	0	2	2	2	37	1	1	2	2	2	2	2	2	3	2	2	2	3	2	3	2	1	1	8	1	1	2	3	3	3	3	3	2	-0.79	0.29
75	1	1	16	43	26	60	34	64	8	8	34	54	36	60	44	74	35	50	43	60	46	72	48	47	47	54	43	62	4.00	3.20	4.00	2.67	3.50	3.60	1.20	2.00	1	2	6	1	1	12	8	6	2	37	1	1	4	2	2	2	3	2	4	4	4	4	4	4	4	4	4	3	150	2	1	3	3	3	3	3	3	7	-0.78	0.67
76	1	2	20	48	12	40	16	43	4	7	22	39	14	32	23	46	25	38	15	28	18	36	40	42	36	44	20	33	2.50	2.20	3.00	3.00	3.25	3.20	1.20	1.50	1	2	5	1	1	50	2	3	1	37	1	1	3	3	2	2	4	2	3	2	2	2	1	2	1	1	1	2	20	1	2	2	3	2	3	3	3	4	-0.80	0.76
77	2	4	15	39	12	38	14	39	7	8	17	32	16	36	14	34	33	48	23	41	27	46	54	50	42	50	28	42	3.33	2.40	2.00	3.50	3.25	2.60	1.00	1.25	1	2	5	1	1	61	1	3	1	37	1	1	4	2	2	2	2	2	6	4	4	3	1	4	1	1	4	2	20	1	2	3	3	3	3	3	3	3	-0.82	0.80
