id	gender	race	c1rrscal	c1rrscala	c1rrtsco	c1rmscal	c1rmtsco	c1rgscal	c1rgtsco	c1fmotor	c1gmotor	c2rrscal	c2rrtsco	c2rmscal	c2rmtsco	c2rgscal	c2rgtsco	c3rrscal	c3rrtsco	c3rmscal	c3rmtsco	c3rgscal	c3rgtsco	c4rrscal	c4rrtsco	c4rmscal	c4rmtsco	c4rgscal	c4rgtsco	p1learn	p1contro	p1social	t1learn	t1contro	t1interp	t1extern	t1intern	p1center	p1disabl	p1htotal	p1hfamil	p1firkdg	p1hrsprk	wkmomed	wkdaded	wklangst	wksesl	wksesq5	s2kpupri	p1count	p1share	p1pencil	p1still	p1letter	p1verbal	p1expect	p1readbo	p1tellst	p1singso	p1helpar	p1chores	p1games	p1nature	p1build	p1sport	p1chlboo	p1chsesa	p2librar	p2safepl	p2garbag	p2drug	p2burglr	p2violen	p2vacant	p2bktog	ses_orig																																																																																																																																																																																			
31.00	2	1	24	24	54	21	54	30	60	7	5	25	44	24	48	36	61	32	46	23	42	39	60	41	42	32	39	46	68	3.17	3.00	4.00	4.00	4.00	4.00	1.00	1.00	1	2	4	1	1	12	6	8	2	58	5	1	4	2	3	2	3	2	4	4	3	4	2	4	2	4	2	3	25	1	2	3	3	3	3	3	3	7	1.26																																																																																																																																																																																			
32.00	2	1	22	22	51	22	56	29	59	6	6	33	53	31	55	33	57	39	53	32	50	35	56	64	56	46	53	39	56	3.17	3.00	3.33	4.00	4.00	4.00	1.00	1.00	1	2	4	1	1	34	3	3	2	44	3	2	2	2	3	2	2	2	4	2	2	2	4	1	2	1	2	1	50	1	2	3	3	3	3	3	3	0	-0.08																																																																																																																																																																																			
33.00	2	1	23	23	52	16	46	26	56	6	6	28	47	28	52	30	54	30	45	34	52	31	51	58	53	43	51	37	53	3.33	2.00	3.33	3.50	3.50	2.80	1.00	1.00	1	2	4	1	1	21	3	3	2	41	2	1	3	2	2	2	3	1	4	3	2	4	4	4	1	2	1	2	100	1	2	3	3	3	3	3	3	7	-0.37																																																																																																																																																																																			
34.00	1	1	28	28	58	22	55	34	64	8	7	43	60	38	62	36	62	51	60	39	57	42	65	65	56	43	51	38	54	3.83	3.00	3.33	3.00	3.25	3.40	1.80	1.25	2	2	4	1	1	0	5	3	2	44	3	1	1	1	1	1	1	1	4	4	3	3	4	4	2	4	4	4	40	1	1	2	3	3	3	3	3	7	-0.10																																																																																																																																																																																			
35.00	1	1	16	16	41	33	67	22	50	7	8	32	51	48	70	30	54	40	53	54	69	33	53	70	59	59	67	42	61	2.50	2.60	3.67	3.00	3.00	3.00	1.40	1.00	1	2	4	1	1	20	3	5	2	44	3	2	3	2	3	2	2	3	4	2	2	3	1	3	2	1	1	3	50	2	1	1	3	3	3	3	3	0	-0.10																																																																																																																																																																																			
36.00	2	1	36	36	66	46	77	33	64	5	7	37	56	48	70	44	72	58	63	50	66	42	65	79	66	60	70	46	67	3.50	2.80	3.00	4.00	4.00	4.00	1.00	1.25	1	2	5	1	1	7	6	6	2	47	4	1	2	2	3	2	1	2	4	4	2	4	2	4	3	2	2	3	200	2	1	3	3	3	3	3	3	2	0.23																																																																																																																																																																																			
37.00	2	1	34	34	64	25	59	31	61	7	8	53	65	32	56	41	67	74	72	42	59	39	61	81	67	52	59	46	69	2.67	2.80	2.33	2.83	3.25	2.60	1.00	2.25	1	2	5	1	1	22	7	5	2	51	4	1	3	2	2	2	2	1	4	4	2	3	3	4	3	3	2	2	200	1	1	3	3	3	3	3	3	7	0.55																																																																																																																																																																																			
38.00	1	1	29	29	59	18	51	18	45	8	8	37	56	24	48	22	44	34	49	26	44	31	51	43	43	36	43	35	50	3.50	3.20	4.00	2.83	3.25	3.00	1.20	1.00	2	2	5	1	2	40	4	4	2	43	3	1	3	2	2	2	2	2	3	4	2	4	4	4	4	2	3	2	25	1	1	2	3	3	3	3	3	7	-0.16																																																																																																																																																																																			
39.00	1	1	21	21	50	19	52	15	41	7	3	22	40	25	49	17	38	32	47	38	56	28	47	48	47	49	56	34	49	2.83	3.00	3.00	3.00	3.50	2.60	1.20	1.00	1	2	4	1	1	30	6	6	2	38	1	1	3	2	3	3	3	2	4	3	3	2	1	3	3	3	3	3	100	1	1	3	3	3	3	3	3	4	-0.75																																																																																																																																																																																			
40.00	2	1	21	21	50	16	46	23	52	3	6	29	48	35	58	29	53	31	46	37	55	32	52	51	48	46	54	38	54	3.50	3.00	3.33	3.67	3.50	3.60	1.00	1.00	2	2	5	1	1	40	3	3	2	40	2	1	3	2	1	2	2	2	2	2	2	2	1	4	2	2	1	3	15	2	2	2	3	3	3	3	3	2	-0.52																																																																																																																																																																																			
41.00	2	1	28	28	58	33	66	35	65	7	7	39	57	38	61	38	64	50	59	52	68	44	69	70	60	54	61	46	67	3.33	3.00	4.00	3.83	3.67	3.75	1.20	1.75	1	2	4	1	1	0	6	8	2	57	5	1	2	1	1	1	2	1	4	4	3	4	2	3	2	2	1	2	100	1	1	3	3	3	3	3	3	6	1.19																																																																																																																																																																																			
42.00	1	1	22	22	51	25	59	27	57	9	6	32	52	35	59	30	54	37	52	45	62	34	54	51	48	58	65	44	64	3.17	3.40	3.00	3.67	3.50	4.00	1.00	1.25	1	2	5	1	1	45	6	3	2	48	4	1	3	3	3	3	3	2	3	3	2	4	2	4	2	1	1	2	100	1	2	3	3	3	3	3	3	2	0.30																																																																																																																																																																																			
43.00	1	1	22	22	50	25	59	24	53	7	8	23	41	30	54	32	56	28	42	34	52	32	53	58	53	44	52	40	58	3.17	3.20	2.00	2.67	3.00	3.20	1.20	2.75	1	1	5	1	1	27	6	6	2	55	5	1	3	3	3	3	3	3	5	3	2	3	1	4	2	2	2	2	75	1	1	2	3	3	3	3	3	7	0.97																																																																																																																																																																																			
44.00	2	1	30	30	61	28	62	15	42	8	8	41	59	33	57	17	37	50	60	38	57	22	40	68	58	44	52	33	48	3.67	3.40	4.00	3.50	3.75	3.40	1.00	1.75	1	2	7	1	1	9	3	5	2	44	3	1	2	2	3	2	3	2	4	3	3	3	3	2	3	2	2	2	75	2	2	3	3	3	3	3	3	7	-0.09																																																																																																																																																																																			
45.00	1	1	33	33	64	27	61	33	63	8	6	51	64	31	55	40	66	56	63	47	63	42	65	75	62	56	63	48	74	3.67	3.40	3.33	3.33	3.25	3.20	1.00	1.00	1	2	6	1	1	8	6	7	2	54	5	2	2	1	1	1	2	1	5	3	3	3	2	3	3	2	3	3	100	1	1	3	3	3	3	3	3	2	0.91																																																																																																																																																																																			
46.00	1	1	18	18	46	21	54	35	66	6	8	30	49	28	52	31	55	31	45	34	52	35	55	49	47	40	48	42	61	2.50	3.20	2.67	2.50	2.50	2.20	2.60	1.50	1	1	3	2	1	15	6	3	2	45	3	1	2	1	2	1	3	2	4	3	2	3	2	2	3	2	1	3	200	1	1	3	3	3	3	3	3	3	0.00																																																																																																																																																																																			
47.00	1	1	15	15	41	15	44	25	54	9	8	32	51	30	54	27	51	31	46	33	52	26	46	54	50	44	51	31	46	3.50	3.20	4.00	3.00	3.25	3.20	1.00	1.25	1	2	4	1	1	22	4	5	2	53	5	2	3	2	1	1	3	1	4	4	2	4	4	4	3	2	3	3	100	1	1	3	3	3	3	3	3	7	0.79																																																																																																																																																																																			
48.00	2	1	23	23	52	22	56	22	50	5	8	33	53	26	51	25	48	35	50	32	51	30	50	47	46	37	45	31	46	2.50	2.40	3.00	2.20	2.00	1.80	3.40	2.00	1	2	4	1	1	12	8	8	2	52	5	1	3	2	3	2	3	2	3	4	3	3	2	4	3	3	2	3	75	1	1	3	3	3	3	3	3	7	0.65																																																																																																																																																																																			
49.00	2	1	13	13	34	13	40	21	49	6	7	23	40	12	29	23	46	23	35	12	23	21	39	39	40	35	42	34	49	2.83	2.00	3.00	2.17	3.25	3.80	1.20	1.25	1	2	5	3	1	14	3	3	2	38	1	1	3	2	3	3	3	2	3	4	4	4	4	4	4	2	2	4	20	1	1	3	1	3	3	3	3	7	-0.71																																																																																																																																																																																			
50.00	2	1	23	23	53	30	64	29	59	2	5	29	49	36	59	32	56	31	45	40	58	35	56	58	53	53	60	45	66	3.50	2.40	3.67	2.83	3.25	3.00	1.40	1.00	1	2	6	1	1	38	2	3	2	39	2	1	3	1	1	1	2	1	2	4	3	3	2	4	2	4	1	1	200	1	2	3	3	3	3	3	3	7	-0.57																																																																																																																																																																																			
51.00	1	1	20	20	48	17	47	30	60	2	5	30	49	26	50	34	59	39	53	27	45	40	62	63	55	48	55	42	61	2.83	3.00	3.00	3.17	3.00	2.80	2.00	1.75	1	2	5	1	1	7	5	3	2	44	3	2	3	2	3	3	4	2	5	2	2	3	2	3	3	3	3	3	100	2	1	3	3	3	3	3	3	7	-0.08																																																																																																																																																																																			
52.00	2	1	39	39	68	31	65	25	54	3	8	56	67	37	60	26	50	68	69	40	58	29	49	76	63	47	54	30	45	3.50	2.20	4.00	4.00	4.00	4.00	1.00	1.25	2	2	4	1	1	0	6	5	2	51	4	2	2	1	2	2	3	2	6	4	3	4	3	3	4	2	3	4	100	1	2	3	3	3	3	3	3	3	0.61																																																																																																																																																																																			
53.00	1	1	25	25	54	24	59	30	60	7	5	42	59	37	61	32	57	42	54	39	57	33	53	70	60	56	63	40	57	2.83	2.60	3.33	1.83	2.75	2.40	2.20	2.00	1	2	5	1	1	8	3	5	2	47	4	2	2	2	2	2	1	3	4	2	2	4	1	2	2	1	3	2	50	1	1	3	3	3	3	3	3	2	0.18																																																																																																																																																																																			
54.00	1	1	29	29	59	22	55	26	56	6	8	38	57	41	65	27	51	33	48	38	56	34	54	39	40	52	59	41	58	2.50	2.00	3.00	2.33	2.25	2.00	2.60	1.75	1	2	6	1	2	9	5	6	2	46	4	1	3	2	2	2	4	2	2	2	2	4	2	4	2	1	1	2	50	2	2	2	3	3	3	3	3	5	0.09																																																																																																																																																																																			
55.00	2	1	33	33	64	27	61	40	72	6	6	37	56	42	65	40	67	37	51	46	63	45	71	71	60	50	57	46	69	3.83	3.00	3.67	3.67	3.50	3.20	1.20	1.25	1	2	4	1	1	47	8	6	2	61	5	1	3	2	2	4	3	2	5	4	3	3	3	4	3	3	2	2	150	1	1	2	3	2	2	2	2	2	1.57																																																																																																																																																																																			
56.00	1	1	34	34	64	26	60	37	68	7	6	35	54	33	56	42	70	38	52	36	55	40	63	65	57	51	58	44	64	3.67	3.60	3.33	3.17	3.00	2.80	1.20	1.25	1	2	4	1	1	45	5	5	2	44	3	1	2	2	2	1	2	1	4	4	3	2	3	4	3	3	3	3	200	2	1	3	3	3	3	3	3	7	-0.06																																																																																																																																																																																			
57.00	1	1	25	25	55	26	60	23	52	9	5	29	48	34	58	23	46	35	50	40	58	30	50	56	51	51	58	38	54	2.50	2.60	3.00	3.17	3.25	3.00	1.20	1.00	1	2	4	1	1	40	5	6	2	51	4	1	2	2	2	2	2	2	4	3	2	2	2	3	3	2	2	3	50	2	2	3	3	3	3	3	3	2	0.57																																																																																																																																																																																			
58.00	2	1	18	18	44	18	50	28	57	7	5	32	52	24	48	32	57	39	53	42	59	32	52	45	45	55	62	40	57	3.50	3.40	4.00	3.83	3.50	3.80	1.00	1.00	1	2	3	2	1	12	3	3	2	40	2	1	3	1	2	2	3	1	6	4	4	4	4	4	4	3	3	4	100	2	1	2	3	2	2	3	3	7	-0.48																																																																																																																																																																																			
59.00	2	1	28	28	58	25	59	26	55	8	6	34	54	36	60	33	58	45	56	41	59	37	58	62	55	57	64	41	59	3.83	3.40	4.00	2.83	3.50	3.80	1.00	2.25	1	2	4	1	1	40	8	5	2	56	5	1	3	2	3	2	2	3	4	3	2	4	4	4	4	4	3	3	40	2	2	3	3	3	3	3	3	7	1.13																																																																																																																																																																																			
60.00	1	1	17	17	43	18	50	23	52	4	5	26	45	25	49	24	47	39	53	34	53	31	51	63	55	34	42	37	53	3.50	2.80	4.00	3.50	3.50	3.60	1.60	1.50	1	1	4	1	1	7	8	8	2	60	5	1	3	1	3	1	2	1	4	4	3	3	2	3	3	2	3	3	150	2	1	3	3	3	2	3	3	6	1.51																																																																																																																																																																																			
61.00	1	1	61	45	79	40	72	41	74	9	6	82	82	56	77	44	74	82	78	50	66	43	66	79	65	57	64	46	67	3.50	3.20	2.67	3.83	3.50	3.40	1.00	1.25	1	2	5	1	1	38	8	8	2	63	5	1	1	1	1	3	2	1	5	4	3	4	3	3	4	3	4	3	200	1	1	3	2	3	3	3	3	7	1.77																																																																																																																																																																																			
62.00	1	1	21	21	50	18	49	15	41	6	8	33	52	22	45	25	48	29	43	21	38	25	44	53	50	46	54	27	42	2.50	3.00	3.00	3.00	2.75	3.00	1.80	1.25	1	2	4	1	1	6	2	2	2	36	1	1	3	2	2	2	2	3	2	3	3	2	3	4	4	2	4	2	30	1	1	3	3	3	3	3	3	3	-0.86																																																																																																																																																																																			
63.00	2	1	41	41	69	31	65	27	57	6	8	53	66	40	64	31	56	59	64	49	65	36	57	76	63	58	66	37	53	3.50	3.40	4.00	3.40	3.00	2.40	1.40	1.00	1	2	7	1	1	19	8	6	2	56	5	2	4	2	3	3	3	1	4	4	2	3	2	3	2	3	1	2	100	2	2	3	3	3	3	3	3	2	1.12																																																																																																																																																																																			
64.00	1	1	31	31	62	35	68	26	55	6	7	43	60	37	61	37	63	42	55	36	54	38	60	70	60	53	60	44	63	2.33	2.80	2.67	3.17	3.25	3.60	2.00	1.50	1	2	3	2	2	40	5	5	2	51	4	2	3	2	3	3	3	2	4	3	3	2	3	2	3	2	3	3	50	2	1	3	3	3	2	3	3	7	0.59																																																																																																																																																																																			
65.00	1	1	16	16	41	17	47	15	41	0	3	26	44	22	45	19	41	48	58	31	49	23	42	75	63	39	47	31	46	3.33	2.60	4.00	3.00	3.25	2.80	1.40	2.00	2	2	5	1	1	0	2	2	2	38	1	1	3	2	4	2	3	2	3	3	4	2	1	4	2	2	1	4	60	1	1	3	2	3	3	3	3	2	-0.69																																																																																																																																																																																			
66.00	2	1	22	22	51	22	55	22	50	8	8	32	52	41	64	26	50	35	50	39	57	32	52	57	52	56	63	34	49	3.67	2.60	3.00	3.67	3.25	3.40	1.20	1.25	1	2	6	1	1	25	2	2	2	38	1	1	2	2	2	2	2	2	4	3	3	4	3	4	4	3	4	3	10	1	2	2	3	3	1	2	3	5	-0.71																																																																																																																																																																																			
67.00	2	1	29	29	59	23	57	36	68	7	8	35	54	33	57	37	62	45	57	47	63	42	66	67	58	53	60	44	63	3.33	2.80	4.00	3.50	3.50	2.80	1.00	1.33	1	2	4	1	1	0	5	3	2	48	4	1	2	2	1	2	1	1	4	3	2	3	4	4	3	2	3	2	200	2	1	3	3	3	3	3	3	7	0.28																																																																																																																																																																																			
